"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 304",,"Khangchendzonga National Park","Q2605019",,,,,,,,,,,,,,,
"S.O. 3063 (E)","2017-09-18","Karera Wildlife Sanctuary","Q17064063","https://archive.org/details/in.gazette.central.e.2017-09-18.179011","description","in.gazette.central.e.2017-09-18.179011","gazetteofindia;JaiGyan","Government of India","2017-09-18","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-18.179011/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3064 (E)","2017-09-18","Ghughua Fossil National Park","Q5557523","https://archive.org/details/in.gazette.central.e.2017-09-18.179013","description","in.gazette.central.e.2017-09-18.179013","gazetteofindia;JaiGyan","Government of India","2017-09-18","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate Change",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-18.179013/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3082 (E)","2017-09-21","Ken Garial Wildlife Sanctuary","Q65090978","https://archive.org/details/in.gazette.central.e.2017-09-21.179125","description","in.gazette.central.e.2017-09-21.179125","gazetteofindia;JaiGyan","Government of India","2017-09-21","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary, vide notification",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-21.179125/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3083 (E)","2017-09-21","Porbander Bird Sanctuary Gujarat","Q7229958","https://archive.org/details/in.gazette.central.e.2017-09-21.179126","description","in.gazette.central.e.2017-09-21.179126","gazetteofindia;JaiGyan","Government of India","2017-09-21","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-21.179126/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3084 (E)","2017-09-21","Melukote Wildlife Sanctuary","Q137699195","https://archive.org/details/in.gazette.central.e.2017-09-21.179123","description","in.gazette.central.e.2017-09-21.179123","gazetteofindia;JaiGyan","Government of India","2017-09-21","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary, vide notification",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-21.179123/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 309","2014-02-04","Fambonglho Wildlife Sanctuary","Q3471769","https://archive.org/details/in.gazette.central.e.2014-02-04.158119","title","in.gazette.central.e.2014-02-04.158119","gazetteofindia;JaiGyan","Government of India","2014-02-04","Ministry of Environment and Forests",,"The Central Govt. is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the Public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2014-02-04.158119/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3099(E)","2016-09-30","Areas in the Union Territory of Andaman and Nicobar Island",,"https://archive.org/details/in.gazette.central.e.2016-09-30.172028","description","in.gazette.central.e.2016-09-30.172028","gazetteofindia;JaiGyan","Government of India","2016-09-30","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas a draft notification for declaring eco sensitive",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-09-30.172028/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3099(E)","2016-09-30","North Button Island National Park","Q3364468",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Middle Button Island National Park","Q3364465",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","South Button Island National Park","Q770855",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Rani Jhansi Marine National Park","Q1544313",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Arial Wildlife Sanctuary","Q140306443",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Bamboo Wildlife Sanctuary","Q135350428",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Barren Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Batti Malv Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Belle Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Bennette Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Bingham Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:bingham-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Blister Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:blister-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Bluff Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Bondoville Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:bondoville-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Brush Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Buchanan Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:buchanan-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Channel Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Cinque Island Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:cinque-islands-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Clyde Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Cone Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Curlew Bp Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Curlew Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Defence Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:defence-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Dot Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Dotrell Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Duncan Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","East Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Egg Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Entrance Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:entrance-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Flat Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Gander Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Goose Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Gurjan Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Hump Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Inglis Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Interview Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:interview-island",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","James Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Jungle Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Kwang Tung Wildlife Sanctuary","Q135012839",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Kyd Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Landfall Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:landfall-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Latouche Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:latouche-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Mangrove Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:mangrove-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Mask Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Mayo Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Megapode Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:megapode-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Montgomery Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Narcondam Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:narcondam-island",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","North Brother Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","North Reef Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:north-reef-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","North Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Oliver Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Orchid Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Ox Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Oyester I Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Oyester II Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Paget Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Parkinson Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:parkinson-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Passage Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:passage-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Petric Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Pitman Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Peacock Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:peacock-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Point Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Potanma Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Ranger Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Reef Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Roper Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Ross Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Rowe Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Sandy Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Sea Serpent Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:sea-serpent-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Shark Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Shearme Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:shearme-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Sir Hugh Rose Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:sir-hugh-rose-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Sisters Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:sisters-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Snake Island Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:snake-island-i-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Snake-I Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:snake-island-i-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","South Brother Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","South Reef Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:south-reef-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","South Sentinel Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Spike II Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Spike-I Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:spike-island-i-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Stoat Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Surat Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Swamp Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Table Dalgarno Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Table(Excelsior) Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:table-excelsior-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Talabaicha Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:talabaicha-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Temple Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Tillongchong Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Tree Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Trilby Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Tuft Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Turtle Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","West Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","Wharf Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 3099(E)","2016-09-30","White Cliff Wildlife Sanctuary","WIKIPEDIA:andaman-and-nicobar-islands:white-cliff-island-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 3099","2015-11-17","Pong Dam Wildlife Sanctuary","Q125881279","https://archive.org/details/in.gazette.central.e.2015-11-17.166741","title","in.gazette.central.e.2015-11-17.166741","gazetteofindia;JaiGyan","Government of India","2015-11-17","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section (1), read with clause (v) and clause (xiv) of sub-section (2) and sub-section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-17.166741/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3100(E)","2016-09-30","Bhindawas Wildlife Sanctuary","Q16155392","https://archive.org/details/in.gazette.central.e.2016-09-30.172025","description","in.gazette.central.e.2016-09-30.172025","gazetteofindia;JaiGyan","Government of India","2016-09-30","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government of the India in the",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-09-30.172025/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3101(E)","2015-11-17","Daying Ering Wildlife Sanctuary","Q85755050","https://archive.org/details/in.gazette.central.e.2015-11-17.166766","title","in.gazette.central.e.2015-11-17.166766","gazetteofindia;JaiGyan","Government of India","2015-11-17","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section (1), read with clause (v) and clause (xiv) of sub-section (2) and sub-section (3) of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-17.166766/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 310","2014-02-04","Kyongnosla Alpine Sanctuary","Q6452052","https://archive.org/details/in.gazette.central.e.2014-02-04.158118","title","in.gazette.central.e.2014-02-04.158118","gazetteofindia;JaiGyan","Government of India","2014-02-04","Ministry of Environment and Forests",,"The Central Govt. is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2014-02-04.158118/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
